Exchange_Name,Reported_Instrument_Name,Report_Month_Name,Report_Year,Report_Year_Month,Volume,Open_Interest
New York Mercantile Exchange,California Oregon Border Electricity,February,1997,1997-02,270,
Chicago Board of Trade,2 Year Treasury Note,January,2004,2004-01,270,
New York Board of Trade,BFP Milk,May,1999,1999-05,269,
Chicago Board of Trade,"5,000 oz. Silver",November,2006,2006-11,265,
New York Board of Trade,Australian Dollar/New Zealand,November,2002,2002-11,264,
"Euronext - Liffe, Uk",Barley,January,2001,2001-01,261,
"Liffe Derivatives Market - Liffe, Uk",Barley,August,2000,2000-08,261,
New York Board of Trade,Australian Dollar/New Zealand,July,2002,2002-07,260,
Chicago Board of Trade,"5,000 oz. Silver",September,2006,2006-09,259,
Eurex,Butter Futures,August,2011,2011-08,259,
Chicago Board of Trade,$25 Dow Jones Industrial Index,May,2009,2009-05,258,
Chicago Mercantile Exchange,90 Day T-Bills,January,2003,2003-01,258,
Chicago Board of Trade,"5,000 oz. Silver",October,2007,2007-10,257,
Philadelphia Stock Exchange,Airline Index,September,1995,1995-09,256,
Chicago Board Options Exchange,30 Year Interest Rate (TYX),December,2007,2007-12,255,
Mercado a Termino de Buenos Aires,Barley,August,2012,2012-08,255,
Chicago Mercantile Exchange,5 Year Swap,October,2005,2005-10,250,
Chicago Mercantile Exchange,Argentine FRB Bond,August,1996,1996-08,246,
Chicago Board Options Exchange,30 Year Interest Rate (TYX),June,2007,2007-06,246,
ICE Futures U.S.,Australian Dollar/New Zealand,May,2009,2009-05,244,
Nyse Liffe U.S.,"5,000 oz. Silver",May,2012,2012-05,242,
New York Mercantile Exchange,Argus LLS vs. WTI (Arg) T (E5),September,2010,2010-09,241,
Chicago Board of Trade,7 Year Interest Rate Swap,April,2011,2011-04,240,
"Euronext - Liffe, Uk",Barley,May,2003,2003-05,240,
New York Board of Trade,Australian Dollar/New Zealand,October,2004,2004-10,239,
Nyse Liffe U.S.,"5,000 oz. Silver",October,2008,2008-10,236,
Chicago Board of Trade,"5,000 oz. Silver",November,2007,2007-11,235,
ICE Futures U.S.,Australian Dollar/New Zealand,October,2009,2009-10,234,
New York Board of Trade,Australian Dollar/New Zealand,August,2002,2002-08,233,
Chicago Mercantile Exchange,1 Year T-Bills,June,1994,1994-06,233,
Chicago Board of Trade,"5,000 oz. Silver",February,2007,2007-02,229,
Chicago Mercantile Exchange,Boneless Beef Trimmings,March,1998,1998-03,228,
New York Board of Trade,Australian Dollar/New Zealand,August,2003,2003-08,227,
New York Mercantile Exchange,1% Fuel Oil NWE Crack Spead Swap (FI),February,2011,2011-02,225,
New York Mercantile Exchange,California Oregon Border Electricity,August,1997,1997-08,225,
NYSE Amex,Airline Index,March,1995,1995-03,225,
Philadelphia Stock Exchange,Airline Index,March,1995,1995-03,225,
