Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Parent_Name,Abbreviated_Name,Country,Region,Year,Month,Report_Year_Month,Volume,Open_Interest
"USD/JPY (Titan)",Future,Currencies,"Singapore Exchange","Singapore Exchange",SGX,Singapore,Asia,2017,09,2017-09,2,0
"USD/JPY FX (XJF)",Future,Currencies,"Taiwan Futures Exchange","Taiwan Futures Exchange",TAIFEX,Taiwan,Asia,2017,09,2017-09,8074,1092
USD/NOK,Future,Currencies,"Budapest Stock Exchange","CEE Stock Exchange Group",BSE,Hungary,Europe,2017,09,2017-09,600,300
"USD/oz Gold",Future,Metals,"Borsa Istanbul","Borsa Istanbul",BIST,Turkey,Other,2017,09,2017-09,180924,21817
USD/RUB,Future,Currencies,"Budapest Stock Exchange","CEE Stock Exchange Group",BSE,Hungary,Europe,2017,09,2017-09,0,600
USD/RUB,Future,Currencies,"Dubai Gold & Commodities Exchange","Dubai Gold & Commodities Exchange",DGCX,"United Arab Emirates",Asia,2017,09,2017-09,48,0
USD/RUB,Future,Currencies,"Moscow Exchange","Moscow Exchange",MOEX,Russia,Europe,2017,09,2017-09,46662647,3807152
USD/RUB,Option,Currencies,"Moscow Exchange","Moscow Exchange",MOEX,Russia,Europe,2017,09,2017-09,2685170,1306568
USD/SEK,Future,Currencies,"Budapest Stock Exchange","CEE Stock Exchange Group",BSE,Hungary,Europe,2017,09,2017-09,1600,500
USD/SGD,Future,Currencies,"Singapore Exchange","Singapore Exchange",SGX,Singapore,Asia,2017,09,2017-09,7874,2219
USD/TRY,Future,Currencies,"Budapest Stock Exchange","CEE Stock Exchange Group",BSE,Hungary,Europe,2017,09,2017-09,400,3150
USD/TRY,Future,Currencies,"Moscow Exchange","Moscow Exchange",MOEX,Russia,Europe,2017,09,2017-09,10,0
USD/UAH,Future,Currencies,"Moscow Exchange","Moscow Exchange",MOEX,Russia,Europe,2017,09,2017-09,7,4
USD/ZAR,Future,Currencies,"Dubai Gold & Commodities Exchange","Dubai Gold & Commodities Exchange",DGCX,"United Arab Emirates",Asia,2017,09,2017-09,558,90
USDPLN,Future,Currencies,"Warsaw Stock Exchange","Warsaw Stock Exchange",WSE,Poland,Europe,2017,09,2017-09,115143,30498
